ID,brand,NIC,owner,image
000020982,DURAPIPE PETROL-LINE,"6, 17, 20",ALIAXIS UK LIMITED,No Image
000175695,AMERICAN PETROLEUM INSTITUTE CERTIFIED,"4, 16, 42",American Petroleum Institute,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYZRFSKDTNU72DSNSWOLH2XP3BKSI2VUTQVJPIGYS5YAL2LW5T3OK
000272906,PETROLE HAHN,3,EUGENE PERMA FRANCE,No Image
000273326,PETROLE HAHN,3,EUGENE PERMA FRANCE,No Image
000283267,KPS PETROL PIPE SYSTEM,"17, 19",OPW Sweden AB,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYZRFSKDTNU72DSNSWOLH2XP3BKVU3SAVWSRQ2A4KOVRER4S7J4DY
000607192,PETROLEUM ARGUS,"9, 16, 36",Argus Media Limited,No Image
000853515,HELLENIC PETROLEUM,"1, 4, 37, 39, 40, 42","HELLENIC PETROLEUM SINGLE MEMBER S.A. REFINING, SUPPLY &amp; SALES OF OIL PRODUCTS &amp; PETROCHEMICALS",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYZRFSKDTNU72DSNSWOLH2XP3BK5MI3M4HBK3ETGLANYMDAHLAIZ4
0859510,PETROL WHEELS,12,"Wheel Pros, LLC",No Image
0865602,PETROLHEAD,14,ALFRED DUNHILL LIMITED,No Image
0877207,TRANSPETROL,"35, 37, 39, 42",VTG Rail Logistics Deutschland GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZMLDFNQNJVJXHP6PWIEILVHEYSRU5F3I5XD4D5BFNTVE4CDYJ4M6
0901178,PV PETROLVALVES S.r.l.,7,PETROLVALVES S.P.A.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZMLDFNQNJVJXHP6PWIEILVHEYSUBPDQKU2CKNFSQOPFQKX3GW5DW
0905401,Petrol Ofisi,"1, 4",PETROL OFİSİ ANONİM ŞİRKETİ,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZMLDFNQNJVJXHP6PWIEILVHEYSW2AANDILM4ATT52GSCHOFRCQPM
0956307,efix ROMPETROL,"4, 35",KMG International N.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZMLDFNQNJVJXHP6PWIEILVHEYSQPSKLRR2SCCT6HXTY6L643RCZY
1037244,PETROL,"6, 7, 17",TUBI THOR S.P.A.,No Image
1133930,pcic EUROPE PETROLEUM &amp; CHEMICAL INDUSTRY COMMITTEE,"1, 4, 5, 41",European Petroleum and Chemical Industry Committee (PCIC Europe),https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45OEGSLWPY45OLSSUPF23A2X7EFA
