,ID,brand,NIC,owner,image
0,277731,NIKE F.I.T.,"16, 25, 28",NIKE Innovate C.V.,No Image
1,277889,NIKE,"9, 14, 18, 25, 28, 42",NIKE Innovate C.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYZRFSKDTNU72DSNSWOLH2XP3BK7N62FXKEDBAFXVRJ2ERG6TLD3U
2,278028,NIKE,"9, 14, 18, 25, 28, 42",NIKE Innovate C.V.,No Image
3,278093,NIKE TOWN,"18, 25, 42",NIKE Innovate C.V.,No Image
4,469353,WIENER PHILHARMONIKER,14,"Münze Österreich Aktiengesellschaft, Wiener Philharmoniker e.V.",No Image
5,471516,PHILHARMONIKER,14,Münze Österreich Aktiengesellschaft,No Image
6,723924,Münchner Philharmoniker,"9, 14, 16, 18, 21, 24, 28, 38, 40, 41, 42","LANDESHAUPTSTADT MÜNCHEN, Münchner Philharmoniker (GbR)",No Image
7,811539,NIKEMA,7,NIKEMA S.R.L.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYZRFSKDTNU72DSNSWOLH2XP3BKRLFEUQOSL5S2JY7FEMHKDOYD7C
8,827824,nike,"18, 25, 28",NIKE Innovate C.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYZRFSKDTNU72DSNSWOLH2XP3BKU6OKNUW3LK7SR2YQXGOXG5WQQY
9,866764,NIKEFREE,25,"Nike Innovate C.V., a limited partnership",No Image
10,883894,NIKE FREE,25,"Nike Innovate C.V., a limited partnership",No Image
11,1071422,NIKE GOLF,"18, 24, 25, 28",NIKE Innovate C.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3JVA4LOVDE4QXANVYQFHDJC72J37H7ZJUATSWB7K5JEOC42VPPIY
12,1073941,BERLINER PHILHARMONIKER,"9, 38, 41",Stiftung Berliner Philharmoniker,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45OVONLZWDWNACOCO3LVZ6XG6CF6
