ID,brand,NIC,owner,image
000000753,APPLE,"9, 16, 38, 41, 42",Apple Inc.,No Image
000029934,Applebee's,"29, 33, 42","Applebee's International, Inc.",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYZRFSKDTNU72DSNSWOLH2XP3BK7X63Q7YJY4LBDUSXEX3G6WN4UQ
000030528,APPLETON,"9, 11",Appleton Grp LLC,No Image
000134569,CRANAPPLE,32,"OCEAN SPRAY CRANBERRIES, INC.",No Image
000168864,SNAPPLE,30,Snapple Beverage Corp,No Image
000177410,APPLETISE,32,European Refreshments Unlimited Company,No Image
000185108,Snapple,"30, 32",Snapple Beverage Corp,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYZRFSKDTNU72DSNSWOLH2XP3BK5KHMWBKEESFEXUREAA2Q64C3R2
000218990,APPLE,"6, 9, 14, 15, 16, 18, 20, 21, 24, 25, 26, 27, 28, 34, 41",Apple Inc.,No Image
000261420,ADAM'S APPLE,"32, 33",JOHN MARTIN S.A.,No Image
000428557,Golden Apple,"30, 32, 33",Berentzen-Gruppe Aktiengesellschaft,No Image
000444547,PINEAPPLE,3,Gi Picco's Cosmetics S.r.l.,No Image
000444828,APPLETON,33,J Wray &amp; Nephew Limited,No Image
000454165,Summer Apple,"30, 33",Berentzen-Gruppe Aktiengesellschaft,No Image
000535203,APPLE TREE,"16, 24, 28",LUK KA INTERNATIONAL LIMITED,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYZRFSKDTNU72DSNSWOLH2XP3BK5IYRNH5IX7CFQMOG7QGT4SOI7C
000630707,Big Apple BAGELS,"30, 42","BAB HOLDINGS, INC.",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYZRFSKDTNU72DSNSWOLH2XP3BKW3MPTTMZKC5CAIZLG7P2PFJDYM
000708131,Coronet The Miniature Apple Tree,31,Patrick McDonnell,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYZRFSKDTNU72DSNSWOLH2XP3BKZINA2G5FQ4MQ7JG4L5KQNLAGKK
0807069,APPLETREE,"5, 42, 44",Appletree CI Group SA,No Image
0818796,APPLETISER,"32, 33",EUROPEAN REFRESHMENTS UNLIMITED COMPANY,No Image
000819748,PINEAPPLE CLOTHING Co LTD PINEAPPLE,25,Pineapple Holdings Limited,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYZRFSKDTNU72DSNSWOLH2XP3BKWAA7VT5G52UIKP7CCQBSFCA5BU
0849189,apple Snapz,29,Snapz Foods AG,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZMLDFNQNJVJXHP6PWIEILVHEYS4GG2H4GX3A2CX3C6JHE2Y4DCI6
0859150,APPLE,40,Apple Inc.,No Image
0860290,JOHNNY APPLESEED,35,GPS Express Australia Pty Ltd,No Image
0870749,APPLE,"36, 38, 42",Apple Inc.,No Image
0883222,APPLE STORE,35,Apple Inc.,No Image
0884727,OH MY! APPLE PIE!,30,Unilever IP Holdings B.V.,No Image
0928475,APPLE TV,9,Apple Inc.,No Image
000938936,APPLES &amp; ORANGES,"16, 28, 41",CELEMIAB SYSTEMS AB,No Image
0951042,LOVE APPLE,43,"LE CHÂTEAU DE MA MERE, société anonyme",No Image
0955755,APPLEBEE'S,43,"Applebee's International, Inc.",No Image
0973841,APPLE STORE,"37, 41, 42",Apple Inc.,No Image
0978171,APPLE,41,Apple Inc.,No Image
0995059,DKNY DELICIOUS CANDY APPLES,3,"GABRIELLE STUDIO, INC.",No Image
1012848,APPLETTERS,28,Bananagrams Inc.,No Image
1020583,ApplebuM,25,SAKAGUCHI Muneo,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45BD76DXDDHCD7JIPSUTRSF4VKKK
1022867,Samuel Smiths ORGANIC CIDER PRODUCED FROM ORGANICALLY GROWN APPLES,33,Samuel Smith Old Brewery (Tadcaster),https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45KGEPXFJU7I2BXVYMQLJIIN7PLK
1071006,APPLE,45,Apple Inc.,No Image
1080052,XANTÉ HOT APPLE,33,Anora Sweden AB,No Image
001085919,MYAPPLE,"9, 38",Apple Inc.,No Image
1093113,APPLECARE,"37, 42",Apple Inc.,No Image
001124569,APPLE CINEMA DISPLAY,9,Apple Inc.,No Image
1126121,Q.app QUALITY APPLES,31,F. Kröpfl Obsthandelsgesellschaft mbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45KIGEVHXKUJ5EPXRNP7NUJPXTSC
001157148,APPLE EXPO,"16, 35",Apple Inc.,No Image
001158112,THE APPLE STORE,"35, 39, 41",Apple Inc.,No Image
001159706,APPLE STORE,"35, 39, 41",Apple Inc.,No Image
1171075,Monika QUALITY APPLES FROM THE ALPS,31,F. Kröpfl Obsthandelsgesellschaft mbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45JA7MQ2TVKNZWR665ARHBEVPVI2
1192765,DESIGNED BY APPLE IN CALIFORNIA,9,Apple Inc.,No Image
1207652,GRAPPLER,28,SHIMANO INC.,No Image
1224368,ROTTEN APPLES,28,MOOSE CREATIVE MANAGEMENT PTY LTD,No Image
1227425,APPLE CARPLAY,9,Apple Inc.,No Image
1228980,APPLE WATCH,10,Apple Inc.,No Image
1229975,APPLE WATCH,14,Apple Inc.,No Image
1241169,APPLE WATCH,9,Apple Inc.,No Image
1244461,ROTTEN APPLES,"16, 28",MOOSE CREATIVE MANAGEMENT PTY LTD,No Image
1247502,APPLE PAY,36,Apple Inc.,No Image
1247825,APPLE PAY,9,Apple Inc.,No Image
1249896,BIG PINEAPPLE,32,"North American Beverages, L.L.C.",No Image
1256745,Works with Apple CarPlay,9,Apple Inc.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHQ7YWKBHJDJ6RDXYEWCFBPI3ISOHBWE5RVEJUOKV6W2F6H6F3BO
1263142,STRONGBOW APPLE CIDERS,"32, 33",Heineken Brouwerijen B.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45F7HVND23LQDXAII5GGA2ULGP3Y
1265412,APPLE MUSIC,45,Apple Inc.,No Image
1266050,Apple O's,30,Mederer GmbH,No Image
1271615,APPLE MUSIC,42,Apple Inc.,No Image
1274285,APPLE PENCIL,9,Apple Inc.,No Image
1282441,Works with Apple HomeKit,"9, 11",Apple Inc.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45MJHU5ZX2SXGCSGXGUGFHXD354M
1283669,APPLE WALLET,9,Apple Inc.,No Image
1289046,PINEAPPLE EXPRESS,"31, 34",Brett Holding B.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45P2JSO4MBW3SSNJCJVF25LGX26G
1290632,APPLE MUSIC,38,Apple Inc.,No Image
1294347,PINEAPPLE CHUNK,"5, 31",Brett Holding B.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45PYBHCQ2ZD3X3K34BXIHKVWIKPC
1294389,MiApple,31,Willashben Pty Ltd,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45FZNV64RZK5H4MJ6IC4BFGNUW6K
1304559,Add to Apple Wallet,9,Apple Inc.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45EKDOP2ICKJ2HZALNOXGCRXGBUS
1305151,APPLECARE,36,Apple Inc.,No Image
1306783,APPLE MAGIC KEYBOARD,9,Apple Inc.,No Image
1308964,Apple Kids,31,Elbe-Obst Erzeugerorganisation r.V.,No Image
1309391,nimm 2 Smilegummi AppleBuddies,30,August Storck KG,No Image
1310007,Works with Apple AirPrint,9,Apple Inc.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45JLYZXFIO3O7KXZ6MKKA2I4Y3MS
1314117,Abrams Appleseed,"16, 41","Harry N. Abrams, Inc.",No Image
1321208,Works with Apple iBeacon,9,Apple Inc.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45CNSX32D2IUFSEMLE5LP7NRX4F2
1323866,APPLE,28,Apple Inc.,No Image
1336721,HOLLISTER PINEAPPLE CHILL,3,Abercrombie &amp; Fitch Europe Sagl,No Image
1355311,OLE SMOKY APPLEJACK BRANDY,33,"Ole Smoky Distillery, LLC",No Image
1358516,APPLEBIOTIC,3,AppleBiotic LLC,No Image
1376625,APPLE PODCASTS,9,Apple Inc.,No Image
1377651,APPLE,9,Apple Inc.,No Image
1381808,PoisonApple,"25, 35",SELECTİON DERİ  SANAYİ VE TİCARET LİMİTED ŞİRKETİ,No Image
1390167,Works with Apple HomeKit,"7, 9, 11, 42",Apple Inc.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45PRQRYEWO2D2D2XBYITSZPYNGDE
1391122,APPLE TV 4K,9,Apple Inc.,No Image
1393756,APPLEXION,"1, 7, 9, 11, 42",NOVASEP PROCESS SOLUTIONS,No Image
1395751,Pineapple Lane Interior Design by Julia Bekker,"20, 24, 35, 42",Julia Bekker,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45JOKQVAPXGFYF7BDIC6V6CV2FRW
1396581,APPLE PODCASTS,41,Apple Inc.,No Image
1397138,Applebee,12,"""STEVENS"" Vertriebs GmbH",No Image
1402447,APPLE,16,Apple Inc.,No Image
1406061,APPLECARE,41,Apple Inc.,No Image
1413880,APPLE,9,APPLE INC.,No Image
1414659,Listen on Apple Podcasts,"41, 42",Apple Inc.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45A33G7S75HVNCJUU3Z3KVZ25NGG
1416276,Apple Ch!ps,29,ThreeWorks Inc.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45I4NSU5244MCRJV6SNLKUBF57FM
1417663,WRAPPLES,"14, 28",MOOSE CREATIVE MANAGEMENT PTY LTD,No Image
1427335,We are the squidgy squad! Vanilla Cola Apple Raspberry Cherry Strawberry flavours,30,Rigo Trading S.A.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45I7UU475Z5ZMHXXN2OALSCJBRUE
1428355,Skinapple,3,YOU JI MAN,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45G24KTW2QSUGVFGF4V25R2QPKJA
1430156,PINEAPPLE GLOW,3,"Too Faced Cosmetics, LLC",No Image
1435800,Works with Apple Health,9,Apple Inc.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45OYOIXSMX3YJVLJGAYHHIRJKRLS
1445691,APPLE MUSIC FOR BUSINESS,"38, 41",Apple Inc.,No Image
1449088,APPLEHEART,"3, 18, 21",Crea Cosmetics Ltd,No Image
1450228,APPLE BUSINESS CHAT,38,Apple Inc.,No Image
