ID,brand,owner,image,NIC
5380316,PETROL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA, D.D., SI (Slovenija)",https://www2.uil-sipo.si/I1/2/DC/05218.JPG,"4, 6"
8980512,PETROL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA, D.D., LJUBLJANA, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/20/08908.GIF,"17, 35, 37, 40, 42"
8980513,PETROL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA, D.D., LJUBLJANA, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/21/08908.GIF,"17, 35, 37, 40, 42"
9371168,PETROL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA, D.D., LJUBLJANA, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/20/08EFE.GIF,"1:4, 17, 35:42"
9371169,PETROL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA, D.D., LJUBLJANA, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/21/08EFE.GIF,"1:4, 17, 35:42"
9671482,PETROL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA, D.D., LJUBLJANA, SI (Slovenija)",No Image,"1:4, 17, 35:42"
9671483,PETROL SLOVENSKA NAFTNA DRUŽBA,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA, D.D., SI (Slovenija)",No Image,"1:4, 17, 35:42"
200471010,PETROL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA, D.D., LJUBLJANA, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/E2/BF2F1.JPG,"35, 36, 39"
200471011,MAGNA PETROL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA, D.D., LJUBLJANA, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/E3/BF2F1.JPG,"35, 36, 39"
200471012,MAGNA PETROL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA, D.D., LJUBLJANA, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/E4/BF2F1.JPG,"35, 36, 39"
200471706,PETROL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/9A/BF2F4.GIF,"5:16, 18:34, 43:45"
200570568,PETROL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D, LJUBLJANA, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/C8/BF476.JPG,"4, 35, 37, 39, 40, 43"
200970900,PETROL MOTOR Spray,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/94/BFA92.JPG,1
200970901,PETROL BRAKE FLUID,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,1
200970902,PETROL REDOL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,4
200970906,PETROL AVANT,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,4
200970907,PETROL GARANT,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,4
200970909,PETROL ENERGY,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,4
200970910,PETROL ATF MATIC,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,4
200970911,PETROL GL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,4
200970912,PETROL LITEX,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,4
200970913,PETROL LIT,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,4
200970914,PETROL HIDROL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,4
200970915,PETROL 2-T SCOOTER,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,4
200970916,PETROL 2-T SINT,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,4
200970918,PETROL SOLAR,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,1
200970919,PETROL ANTIFRIZ,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,1
200970920,PETROL KOEL PLUS,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,1
200970921,PETROL DIESEL WINTER PROTECT,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,1
200970922,PETROL SEALANT PLUS,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,1
200970923,PETROL BENCIN PLUS,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,1
200970924,PETROL DIESEL PLUS,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA, SI (Slovenija)",No Image,1
201070509,PETROL QMAX,"Petrol, Slovenska energetska družba, d.d., Ljubljana, SI (Slovenija)",No Image,"4, 35, 39"
201170681,PETROL Energija za življenje,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA, D.D., LJUBLJANA, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/F9/BFD9E.JPG,"4, 16, 18, 29, 30, 32, 35, 39"
201270714,PETROL Energija za život,"PETROL, Slovenska energetska družba, d.d., Ljubljana, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/BA/BFF25.GIF,"4, 16, 18, 29, 30, 32, 35, 39"
201270803,ELTEC PETROL,"PETROL, Slovenska energetska družba, d.d., Ljubljana, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/13/BFF26.JPG,"4, 9, 11, 35, 37, 39, 42"
201371381,PETROL ANTIFRIZ G 13,"PETROL, Slovenska energetska družba, d.d., Ljubljana, SI (Slovenija)",No Image,"1, 3, 35"
201770660,MOJ PETROL,"PETROL, Slovenska energetska družba, d.d., Ljubljana, SI (Slovenija)",No Image,"9, 35, 38"
202070022,PETROL KAVA NA POTI COFFEE TO GO,"Petrol d.d., Ljubljana, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/06/C0B58.JPG,"11, 21, 30, 32, 35, 43"
202070023,PETROL KAFA NA PUTU COFFEE TO GO,"Petrol d.d., Ljubljana, SI (Slovenija)",https://www2.uil-sipo.si/I1/2/07/C0B58.JPG,"11, 21, 30, 32, 35, 43"
