brand,owner,ID,NIC,image
APPLE,"""Apple Parfum"" LLC",1590141,3,No image
APPLE,APPLE INC.,1512594,36,No image
APPLE,APPLE INC.,1413880,9,No image
APPLE,Apple Inc.,1402447,16,No image
APPLE,Apple Inc.,1377651,9,No image
APPLE,Apple Inc.,1366329,39,No image
APPLE,Apple Inc.,1323866,28,No image
APPLE,LEONARD TIMEPIECES SA,1296195A,14,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1296195A&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE,Apple Inc.,1296195,14,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1296195&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE,GUANGDONG PINGGUO SHIYE YOUXIAN GONGSI,1292812,18,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1292812&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE,Apple Inc.,1071006,45,No image
APPLE,Apple Inc.,978171,41,No image
APPLE,Apple Inc.,956402,9,No image
APPLE,"TANGSHAN YANNAN SHOVEL-MAKING CO., LTD.",863562,8,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0863562&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE,Apple Inc.,859150,40,No image
APPLE,Apple Inc.,870749,"9, 36, 38, 42",No image
apple,Apple Inc.,349518,"9, 16, 24, 25, 27, 28",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0349518&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE,Apple Inc.,349516,"9, 16, 24, 25, 27, 28",No image
APPLE IMMERSIVE,Apple Inc.,1838578,41,No image
APPLE IMMERSIVE,Apple Inc.,1838577,9,No image
APPLE INTELLIGENCE,Apple Inc.,1843888,42,No image
WILD APPLE,Borysov Dmytro,1822723,43,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1822723&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE INTELLIGENCE,Apple Inc.,1813515,9,No image
APPLE SUGAR,Apple Sugar LLC,1802201,30,No image
APPLE SPORTS,Apple Inc.,1805286,9,No image
APPLE SPORTS,Apple Inc.,1799113,41,No image
APPLE VISION,Apple Inc.,1741154,9,No image
APPLE DROP,8937001 Canada Inc.,1737535,34,No image
APPLE STUDIOS,Apple Inc.,1698915,41,No image
APPLE AIRTAG,Apple Inc.,1631700,9,No image
APPLE AIRTAG,Apple Inc.,1636780,18,No image
APPLE AIRTAG,Apple Inc.,1630989,14,No image
CRISP APPLE,"Bath & Body Works Brand Management, Inc.",1621551,3,No image
APPLE WEATHER,"Bath & Body Works Brand Management, Inc.",1618287,"3, 4",No image
APPLE HIBISCUS,"Bath & Body Works Brand Management, Inc.",1614577,3,No image
PUMPKIN APPLE,"Bath & Body Works Brand Management, Inc.",1632085,"3, 5",No image
Apple-Bird,G.S.F,1620900,"29, 31",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1620900&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE PASSION,EURONOVA POLSKA Spółka z ograniczona odpowiedzialnością,1571972,33,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1571972&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE ONE,Apple Inc.,1584240,"38, 41",No image
APPLE ONE,Apple Inc.,1582239,"35, 42",No image
APPLE PRORAW,Apple Inc.,1563584,9,No image
APPLE BOX,LLC Crystal Management company,1584193,35,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1584193&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
GOLD APPLE,LLC Crystal Management company,1581226,35,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1581226&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE FITNESS+,Apple Inc.,1581257,"38, 41, 42, 45",No image
APPLE FITNESS+,Apple Inc.,1560256,9,No image
RED APPLE,KIRMIZI ELMA KIRTASİYE SANAYİ VE TİCARET LİMİTED ŞİRKETİ,1533226,"2, 16",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1533226&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE FOX,Heineken Brouwerijen B.V.,1528616,33,No image
APPLE AFTERBURNER,Apple Inc.,1502419,9,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1502419&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
apple park,"Apple Park, LLC",1492655,"25, 28",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1492655&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE NEWS+,Apple Inc.,1548941,"41, 42",No image
APPLE NEWS+,Apple Inc.,1507606,35,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1507606&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
Apple Pork,"LOCO-SIKI Co., Ltd.",1494760,"29, 30, 35",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1494760&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE TV +,Apple Inc.,1535752,41,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1535752&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE TV +,Apple Inc.,1495806,38,No image
APPLE CARD,Apple Inc.,1495816,9,No image
APPLE CASH,Apple Inc.,1495639,9,No image
APPLE CARD,Apple Inc.,1495374,42,No image
APPLE ARCADE,Apple Inc.,1493591,42,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1493591&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE ARCADE,Apple Inc.,1486097,"35, 41",No image
APPLE ORIGINALS,Apple Inc.,1485618,"38, 41",No image
APPLE ORIGINALS,Apple Inc.,1470664,9,No image
APPLE LIGHTNING,Apple Inc.,1466282,9,No image
APPLE TV,Apple Inc.,1485790,"38, 41",No image
APPLE PARK,Apple Inc.,1451862,"35, 41, 43",No image
APPLE GIVEBACK,Apple Inc.,1430497,40,No image
APPLE GIVEBACK,Apple Inc.,1429672,35,No image
APPLE BOOKS,Apple Inc.,1423077,9,No image
APPLE PODCASTS,Apple Inc.,1396581,41,No image
APPLE PODCASTS,Apple Inc.,1376625,9,No image
APPLE & ONION,Turner Broadcasting System Europe Limited,1345341,"9, 41",No image
Apple paple,Rafał Pawliński,1312922,33,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1312922&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
HI APPLE,"Qingdao Laosandong Foodstuff Stock Co., Ltd.",1316505,31,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1316505&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
