brand,owner,ID,NIC,image
PETROL,"Petrol d.d., Ljubljana",1543057,"1, 3, 4, 9, 16, 35, 36, 37, 38, 39, 40, 41, 42, 43",No image
PETROL,TONI YOUNES,1253847,"30, 32, 43",No image
PETROL,Petrol Industries B.V.,1218818,"3, 9, 14, 18, 25, 35",No image
PETROL,TUBI THOR S.P.A.,1037244,"6, 7, 17",No image
Petrol,Petrol Industries B.V.,930602,"18, 25, 35",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0930602&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
PETROL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA",920844,"4, 35, 37, 39, 40, 42, 43",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0920844&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
PETROL,Petrol Industries B.V.,864145,"18, 25, 35",No image
PETROL,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA D.D., LJUBLJANA",659672,"1, 2, 3, 4, 17, 35, 36, 37, 38, 39, 40, 41, 42",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0659672&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
PETROL GO,"Petrol d.d., Ljubljana",1835244,"9, 16, 30, 35, 36, 37, 41, 43",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1835244&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
Petrol Ofisi,PETROL OFİSİ ANONİM ŞİRKETİ,1519068,4,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1519068&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
PETROL INDUSTRIES,Petrol Industries B.V.,1209000,"3, 9, 14, 18, 25, 35",No image
NIS PETROL,"Društvo za istraživanje, proizvodnju, preradu, distribuciju i pr...",1186004,"1, 4, 19, 35, 37, 39, 40, 42",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1186004&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
NIS PETROL,"Društvo za istraživanje, proizvodnju, preradu, distribuciju i pr...",1186003,"1, 4, 19, 35, 37, 39, 40, 42",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1186003&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
NIS PETROL,"Društvo za istraživanje, proizvodnju, preradu, distribuciju i pr...",1184886,"1, 4, 19, 35, 37, 39, 40, 42",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1184886&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
NIS PETROL,"Društvo za istraživanje, proizvodnju, preradu, distribuciju i pr...",1184885,"1, 4, 19, 35, 37, 39, 40, 42",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1184885&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
PETROL QMAX,"PETROL, Slovenska energetska družba, d.d., Ljubljana",1053435,"4, 35, 39",No image
Petrol Ofisi,PETROL OFİSİ ANONİM ŞİRKETİ,905401,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 1...",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0905401&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
PETROL WHEELS,"Wheel Pros, LLC",859510,12,No image
MISTER PETROL,PVG International B.V.,783196,"4, 37, 39",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0783196&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
PETROL CALTEX,Tamoil S.A.,675442,"1, 4",No image
PETROL CALTEX,Tamoil S.A.,678426,"1, 4",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0678426&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
PETROL CALTEX,Tamoil S.A.,631424,4,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0631424&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
geoplin PETROL GROUP,GEOPLIN d.o.o. Ljubljana,1783995,"35, 36, 39, 40",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1783995&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
geoplin PETROL GROUP,GEOPLIN d.o.o. Ljubljana,1783981,"35, 36, 39, 40",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1783981&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
FUELS BY PETROL,"Petrol d.d., Ljubljana",1665833,"1, 4, 35, 39",No image
KARA VAN PETROL,Strippoli Rosa Maria,1451682,"14, 18, 24, 25",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1451682&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
KARA VAN PETROL,Strippoli Rosa Maria,1448714,"14, 18, 24, 25",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1448714&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
D DEMIRÖREN PETROL,MİLANGAZ LPG DAĞITIM TİCARET VE SANAYİ ANONİM ŞİRKETİ,1414250,"4, 37",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1414250&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
PETROL Energy for life,"Petrol d.d., Ljubljana",1563431,"4, 9, 11, 16, 35, 36, 37, 38, 39, 40, 42",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1563431&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
PETROL Energija za zivot,"PETROL, Slovenska energetska družba, d.d., Ljubljana",1142079,"4, 16, 18, 29, 30, 32, 35, 39",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1142079&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
Kayıkçıoğlu PETROL ALIŞVERİŞ MERKEZİ RESTAURANT,KAYIKÇIOĞLU PETROL AKARYAKIT TAŞIMACILIK İNŞAAT OTOMOTİV GIDA ...,1657094,"4, 35, 37, 39, 43",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1657094&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
PETROL KAFA NA PUTU COFFEE TO GO,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA, D.D., LJUBLJANA",1544609,"11, 21, 30, 32, 35, 43",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1544609&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
KINETIC OIL GROUP PETROL ENERGY MARINE TRADE GAS OIL,Antonis Iliopoulos,1435287,"4, 39",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1435287&TYPE=jpg&qi=0-resdIh2UT3Lup8OcGbo5NA3Mj+ncOnccUopblAsI10I=
